season,ref,game_pk,game_date,batting_team,fielding_team,batter,bat_side,batter_split,men_on_base,pitcher,venue,day_night,home_away_batting,PA,AB,H,singles,doubles,triples,HR,RBI,BB,IBB,SO,HBP,SF
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Brooks Lee,L,vs_RHP,Empty,Cal Quantrill,Globe Life Field,day,away,1,1,0,0,0,0,0,0,0,0,0,0,0
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Brooks Lee,L,vs_RHP,Empty,Cole Winn,Globe Life Field,day,away,1,1,0,0,0,0,0,0,0,0,0,0,0
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Brooks Lee,L,vs_RHP,Empty,Jack Leiter,Globe Life Field,day,away,2,2,1,0,0,0,1,3,0,0,0,0,0
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Brooks Lee,R,vs_LHP,Empty,Robby Ahlstrom,Globe Life Field,day,away,1,1,0,0,0,0,0,0,0,0,0,0,0
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Byron Buxton,R,vs_LHP,Empty,Robby Ahlstrom,Globe Life Field,day,away,1,1,0,0,0,0,0,0,0,0,0,0,0
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Byron Buxton,R,vs_RHP,Empty,Jack Leiter,Globe Life Field,day,away,2,2,0,0,0,0,0,0,0,0,0,0,0
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Byron Buxton,R,vs_RHP,Men_On,Cal Quantrill,Globe Life Field,day,away,1,1,0,0,0,0,0,0,0,0,0,0,0
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Byron Buxton,R,vs_RHP,Men_On,Jack Leiter,Globe Life Field,day,away,1,1,0,0,0,0,0,0,0,0,1,0,0
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Josh Bell,L,vs_RHP,Empty,Cole Winn,Globe Life Field,day,away,1,1,0,0,0,0,0,0,0,0,0,0,0
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Josh Bell,L,vs_RHP,Empty,Peyton Gray,Globe Life Field,day,away,1,1,0,0,0,0,0,0,0,0,0,0,0
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Josh Bell,L,vs_RHP,Men_On,Cal Quantrill,Globe Life Field,day,away,1,1,1,1,0,0,0,0,0,0,0,0,0
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Josh Bell,L,vs_RHP,Men_On,Jack Leiter,Globe Life Field,day,away,1,0,0,0,0,0,0,0,1,0,0,0,0
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Josh Bell,L,vs_RHP,RISP,Jack Leiter,Globe Life Field,day,away,1,1,1,1,0,0,0,1,0,0,0,0,0
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Kody Clemens,L,vs_RHP,Empty,Cal Quantrill,Globe Life Field,day,away,2,2,0,0,0,0,0,0,0,0,1,0,0
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Kody Clemens,L,vs_RHP,Empty,Jack Leiter,Globe Life Field,day,away,1,1,0,0,0,0,0,0,0,0,0,0,0
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Kody Clemens,L,vs_RHP,Empty,Peyton Gray,Globe Life Field,day,away,1,1,0,0,0,0,0,0,0,0,1,0,0
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Kody Clemens,L,vs_RHP,RISP,Jack Leiter,Globe Life Field,day,away,1,1,1,1,0,0,0,0,0,0,0,0,0
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Luke Keaschall,R,vs_LHP,RISP,Robby Ahlstrom,Globe Life Field,day,away,1,0,0,0,0,0,0,0,1,0,0,0,0
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Luke Keaschall,R,vs_RHP,Men_On,Cal Quantrill,Globe Life Field,day,away,1,1,1,1,0,0,0,0,0,0,0,0,0
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Luke Keaschall,R,vs_RHP,Men_On,Jack Leiter,Globe Life Field,day,away,2,1,1,1,0,0,0,0,1,0,0,0,0
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Royce Lewis,R,vs_RHP,Empty,Cal Quantrill,Globe Life Field,day,away,1,1,0,0,0,0,0,0,0,0,0,0,0
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Royce Lewis,R,vs_RHP,Empty,Cole Winn,Globe Life Field,day,away,1,1,0,0,0,0,0,0,0,0,1,0,0
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Royce Lewis,R,vs_RHP,Empty,Jack Leiter,Globe Life Field,day,away,1,1,0,0,0,0,0,0,0,0,1,0,0
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Royce Lewis,R,vs_RHP,Empty,Peyton Gray,Globe Life Field,day,away,1,1,0,0,0,0,0,0,0,0,1,0,0
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Royce Lewis,R,vs_RHP,RISP,Jack Leiter,Globe Life Field,day,away,1,1,0,0,0,0,0,0,0,0,1,0,0
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Ryan Kreidler,R,vs_LHP,Men_On,Robby Ahlstrom,Globe Life Field,day,away,1,1,0,0,0,0,0,0,0,0,0,0,0
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Ryan Kreidler,R,vs_RHP,Empty,Cal Quantrill,Globe Life Field,day,away,1,1,1,0,0,0,1,2,0,0,0,0,0
