season,ref,game_pk,game_date,fielding_team,batting_team,pitcher,pitch_hand,pitcher_split,men_on_base,batter,venue,day_night,home_away_pitching,BF,AB,H,singles,doubles,triples,HR,BB,IBB,SO,HBP,SF,total_outs
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Andrew Morris,R,vs_RHB,Empty,Josh Jung,Globe Life Field,day,away,1,1,0,0,0,0,0,0,0,0,0,0,2
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Cody Laweryson,R,vs_LHB,Empty,Brandon Nimmo,Globe Life Field,day,away,1,1,0,0,0,0,0,0,0,0,0,0,1
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Cody Laweryson,R,vs_RHB,Empty,Cody Freeman,Globe Life Field,day,away,1,1,0,0,0,0,0,0,0,0,0,0,1
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Cody Laweryson,R,vs_RHB,Empty,Justin Foscue,Globe Life Field,day,away,1,1,1,0,0,0,1,0,0,0,0,0,0
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Cody Laweryson,R,vs_RHB,Empty,Kyle Higashioka,Globe Life Field,day,away,1,1,0,0,0,0,0,0,0,0,0,0,1
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Cody Laweryson,R,vs_RHB,Men_On,Josh Jung,Globe Life Field,day,away,1,1,1,1,0,0,0,0,0,0,0,0,0
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Cody Laweryson,R,vs_RHB,RISP,Wyatt Langford,Globe Life Field,day,away,1,1,1,1,0,0,0,0,0,0,0,0,0
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Eric Orze,R,vs_LHB,Empty,Brandon Nimmo,Globe Life Field,day,away,1,1,0,0,0,0,0,0,0,0,0,0,1
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Eric Orze,R,vs_LHB,Men_On,Nicky Lopez,Globe Life Field,day,away,1,1,1,1,0,0,0,0,0,0,0,0,0
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Eric Orze,R,vs_LHB,RISP,Josh Smith,Globe Life Field,day,away,1,1,1,0,1,0,0,0,0,0,0,0,0
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Eric Orze,R,vs_RHB,Empty,Jake Burger,Globe Life Field,day,away,1,1,0,0,0,0,0,0,0,0,0,0,1
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Eric Orze,R,vs_RHB,Empty,Wyatt Langford,Globe Life Field,day,away,1,1,0,0,0,0,0,0,0,1,0,0,1
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Joe Ryan,R,vs_LHB,Empty,Alejandro Osuna,Globe Life Field,day,away,2,2,0,0,0,0,0,0,0,1,0,0,2
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Joe Ryan,R,vs_LHB,Empty,Brandon Nimmo,Globe Life Field,day,away,1,1,0,0,0,0,0,0,0,0,0,0,1
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Joe Ryan,R,vs_LHB,Empty,Joc Pederson,Globe Life Field,day,away,3,3,0,0,0,0,0,0,0,3,0,0,3
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Joe Ryan,R,vs_LHB,Empty,Josh Smith,Globe Life Field,day,away,1,1,0,0,0,0,0,0,0,0,0,0,1
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Joe Ryan,R,vs_LHB,Men_On,Brandon Nimmo,Globe Life Field,day,away,1,1,1,1,0,0,0,0,0,0,0,0,0
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Joe Ryan,R,vs_LHB,Men_On,Josh Smith,Globe Life Field,day,away,1,1,0,0,0,0,0,0,0,1,0,0,1
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Joe Ryan,R,vs_RHB,Empty,Ezequiel Duran,Globe Life Field,day,away,1,1,0,0,0,0,0,0,0,0,0,0,1
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Joe Ryan,R,vs_RHB,Empty,Josh Jung,Globe Life Field,day,away,2,2,0,0,0,0,0,0,0,0,0,0,2
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Joe Ryan,R,vs_RHB,Empty,Kyle Higashioka,Globe Life Field,day,away,2,2,0,0,0,0,0,0,0,1,0,0,2
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Joe Ryan,R,vs_RHB,Empty,Wyatt Langford,Globe Life Field,day,away,1,1,0,0,0,0,0,0,0,1,0,0,1
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Joe Ryan,R,vs_RHB,Men_On,Ezequiel Duran,Globe Life Field,day,away,1,1,0,0,0,0,0,0,0,0,0,0,1
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Joe Ryan,R,vs_RHB,Men_On,Jake Burger,Globe Life Field,day,away,1,1,1,1,0,0,0,0,0,0,0,0,0
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Joe Ryan,R,vs_RHB,Men_On,Josh Jung,Globe Life Field,day,away,1,1,1,1,0,0,0,0,0,0,0,0,0
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Joe Ryan,R,vs_RHB,RISP,Jake Burger,Globe Life Field,day,away,1,0,0,0,0,0,0,1,0,0,0,0,0
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Joe Ryan,R,vs_RHB,RISP,Wyatt Langford,Globe Life Field,day,away,1,0,0,0,0,0,0,1,0,0,0,0,0
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Justin Lawrence,R,vs_LHB,Empty,Brandon Nimmo,Globe Life Field,day,away,1,1,0,0,0,0,0,0,0,0,0,0,1
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Justin Lawrence,R,vs_LHB,Empty,Josh Smith,Globe Life Field,day,away,1,1,0,0,0,0,0,0,0,1,0,0,1
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Justin Lawrence,R,vs_RHB,Empty,Ezequiel Duran,Globe Life Field,day,away,1,1,1,0,0,0,1,0,0,0,0,0,0
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Justin Lawrence,R,vs_RHB,Empty,Jake Burger,Globe Life Field,day,away,1,1,0,0,0,0,0,0,0,1,0,0,1
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Justin Lawrence,R,vs_RHB,Empty,Wyatt Langford,Globe Life Field,day,away,1,1,1,0,0,0,1,0,0,0,0,0,0
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Taylor Rogers,L,vs_RHB,Empty,Cody Freeman,Globe Life Field,day,away,1,1,0,0,0,0,0,0,0,0,0,0,1
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Taylor Rogers,L,vs_RHB,Men_On,Kyle Higashioka,Globe Life Field,day,away,1,1,1,1,0,0,0,0,0,0,0,0,0
2026,202606,822889,2026-06-18,Minnesota Twins,Texas Rangers,Taylor Rogers,L,vs_RHB,RISP,Justin Foscue,Globe Life Field,day,away,1,0,0,0,0,0,0,1,0,0,0,0,0
2026,202606,822889,2026-06-18,Texas Rangers,Minnesota Twins,Cal Quantrill,R,vs_LHB,Empty,Brooks Lee,Globe Life Field,day,home,1,1,0,0,0,0,0,0,0,0,0,0,1
2026,202606,822889,2026-06-18,Texas Rangers,Minnesota Twins,Cal Quantrill,R,vs_LHB,Empty,Kody Clemens,Globe Life Field,day,home,2,2,0,0,0,0,0,0,0,1,0,0,2
2026,202606,822889,2026-06-18,Texas Rangers,Minnesota Twins,Cal Quantrill,R,vs_LHB,Men_On,Josh Bell,Globe Life Field,day,home,1,1,1,1,0,0,0,0,0,0,0,0,0
2026,202606,822889,2026-06-18,Texas Rangers,Minnesota Twins,Cal Quantrill,R,vs_LHB,Men_On,Trevor Larnach,Globe Life Field,day,home,1,1,0,0,0,0,0,0,0,0,0,0,1
2026,202606,822889,2026-06-18,Texas Rangers,Minnesota Twins,Cal Quantrill,R,vs_LHB,Men_On,Victor Caratini,Globe Life Field,day,home,1,1,1,1,0,0,0,0,0,0,0,0,0
2026,202606,822889,2026-06-18,Texas Rangers,Minnesota Twins,Cal Quantrill,R,vs_RHB,Empty,Royce Lewis,Globe Life Field,day,home,1,1,0,0,0,0,0,0,0,0,0,0,1
2026,202606,822889,2026-06-18,Texas Rangers,Minnesota Twins,Cal Quantrill,R,vs_RHB,Empty,Ryan Kreidler,Globe Life Field,day,home,1,1,1,0,0,0,1,0,0,0,0,0,0
2026,202606,822889,2026-06-18,Texas Rangers,Minnesota Twins,Cal Quantrill,R,vs_RHB,Men_On,Byron Buxton,Globe Life Field,day,home,1,1,0,0,0,0,0,0,0,0,0,0,1
2026,202606,822889,2026-06-18,Texas Rangers,Minnesota Twins,Cal Quantrill,R,vs_RHB,Men_On,Luke Keaschall,Globe Life Field,day,home,1,1,1,1,0,0,0,0,0,0,0,0,0
2026,202606,822889,2026-06-18,Texas Rangers,Minnesota Twins,Cole Winn,R,vs_LHB,Empty,Brooks Lee,Globe Life Field,day,home,1,1,0,0,0,0,0,0,0,0,0,0,1
2026,202606,822889,2026-06-18,Texas Rangers,Minnesota Twins,Cole Winn,R,vs_LHB,Empty,Josh Bell,Globe Life Field,day,home,1,1,0,0,0,0,0,0,0,0,0,0,1
2026,202606,822889,2026-06-18,Texas Rangers,Minnesota Twins,Cole Winn,R,vs_RHB,Empty,Royce Lewis,Globe Life Field,day,home,1,1,0,0,0,0,0,0,0,1,0,0,1
2026,202606,822889,2026-06-18,Texas Rangers,Minnesota Twins,Jack Leiter,R,vs_LHB,Empty,Brooks Lee,Globe Life Field,day,home,2,2,1,0,0,0,1,0,0,0,0,0,1
2026,202606,822889,2026-06-18,Texas Rangers,Minnesota Twins,Jack Leiter,R,vs_LHB,Empty,Kody Clemens,Globe Life Field,day,home,1,1,0,0,0,0,0,0,0,0,0,0,1
2026,202606,822889,2026-06-18,Texas Rangers,Minnesota Twins,Jack Leiter,R,vs_LHB,Empty,Trevor Larnach,Globe Life Field,day,home,2,2,1,0,0,0,1,0,0,0,0,0,2
2026,202606,822889,2026-06-18,Texas Rangers,Minnesota Twins,Jack Leiter,R,vs_LHB,Empty,Tristan Gray,Globe Life Field,day,home,2,2,0,0,0,0,0,0,0,1,0,0,2
2026,202606,822889,2026-06-18,Texas Rangers,Minnesota Twins,Jack Leiter,R,vs_LHB,Empty,Victor Caratini,Globe Life Field,day,home,1,1,0,0,0,0,0,0,0,0,0,0,1
2026,202606,822889,2026-06-18,Texas Rangers,Minnesota Twins,Jack Leiter,R,vs_LHB,Men_On,Josh Bell,Globe Life Field,day,home,1,0,0,0,0,0,0,1,0,0,0,0,0
2026,202606,822889,2026-06-18,Texas Rangers,Minnesota Twins,Jack Leiter,R,vs_LHB,Men_On,Trevor Larnach,Globe Life Field,day,home,1,1,1,1,0,0,0,0,0,0,0,0,0
2026,202606,822889,2026-06-18,Texas Rangers,Minnesota Twins,Jack Leiter,R,vs_LHB,Men_On,Victor Caratini,Globe Life Field,day,home,1,1,1,1,0,0,0,0,0,0,0,0,0
2026,202606,822889,2026-06-18,Texas Rangers,Minnesota Twins,Jack Leiter,R,vs_LHB,RISP,Josh Bell,Globe Life Field,day,home,1,1,1,1,0,0,0,0,0,0,0,0,0
2026,202606,822889,2026-06-18,Texas Rangers,Minnesota Twins,Jack Leiter,R,vs_LHB,RISP,Kody Clemens,Globe Life Field,day,home,1,1,1,1,0,0,0,0,0,0,0,0,0
2026,202606,822889,2026-06-18,Texas Rangers,Minnesota Twins,Jack Leiter,R,vs_RHB,Empty,Byron Buxton,Globe Life Field,day,home,2,2,0,0,0,0,0,0,0,0,0,0,2
2026,202606,822889,2026-06-18,Texas Rangers,Minnesota Twins,Jack Leiter,R,vs_RHB,Empty,Royce Lewis,Globe Life Field,day,home,1,1,0,0,0,0,0,0,0,1,0,0,1
2026,202606,822889,2026-06-18,Texas Rangers,Minnesota Twins,Jack Leiter,R,vs_RHB,Men_On,Byron Buxton,Globe Life Field,day,home,1,1,0,0,0,0,0,0,0,1,0,0,1
2026,202606,822889,2026-06-18,Texas Rangers,Minnesota Twins,Jack Leiter,R,vs_RHB,Men_On,Luke Keaschall,Globe Life Field,day,home,2,1,1,1,0,0,0,1,0,0,0,0,0
2026,202606,822889,2026-06-18,Texas Rangers,Minnesota Twins,Jack Leiter,R,vs_RHB,RISP,Royce Lewis,Globe Life Field,day,home,1,1,0,0,0,0,0,0,0,1,0,0,1
2026,202606,822889,2026-06-18,Texas Rangers,Minnesota Twins,Peyton Gray,R,vs_LHB,Empty,Josh Bell,Globe Life Field,day,home,1,1,0,0,0,0,0,0,0,0,0,0,1
2026,202606,822889,2026-06-18,Texas Rangers,Minnesota Twins,Peyton Gray,R,vs_LHB,Empty,Kody Clemens,Globe Life Field,day,home,1,1,0,0,0,0,0,0,0,1,0,0,1
2026,202606,822889,2026-06-18,Texas Rangers,Minnesota Twins,Peyton Gray,R,vs_RHB,Empty,Royce Lewis,Globe Life Field,day,home,1,1,0,0,0,0,0,0,0,1,0,0,1
2026,202606,822889,2026-06-18,Texas Rangers,Minnesota Twins,Robby Ahlstrom,L,vs_LHB,RISP,Trevor Larnach,Globe Life Field,day,home,1,1,1,1,0,0,0,0,0,0,0,0,0
2026,202606,822889,2026-06-18,Texas Rangers,Minnesota Twins,Robby Ahlstrom,L,vs_RHB,Empty,Brooks Lee,Globe Life Field,day,home,1,1,0,0,0,0,0,0,0,0,0,0,1
2026,202606,822889,2026-06-18,Texas Rangers,Minnesota Twins,Robby Ahlstrom,L,vs_RHB,Empty,Byron Buxton,Globe Life Field,day,home,1,1,0,0,0,0,0,0,0,0,0,0,1
2026,202606,822889,2026-06-18,Texas Rangers,Minnesota Twins,Robby Ahlstrom,L,vs_RHB,Men_On,Ryan Kreidler,Globe Life Field,day,home,1,1,0,0,0,0,0,0,0,0,0,0,1
2026,202606,822889,2026-06-18,Texas Rangers,Minnesota Twins,Robby Ahlstrom,L,vs_RHB,Men_On,Victor Caratini,Globe Life Field,day,home,1,1,1,1,0,0,0,0,0,0,0,0,0
2026,202606,822889,2026-06-18,Texas Rangers,Minnesota Twins,Robby Ahlstrom,L,vs_RHB,RISP,Luke Keaschall,Globe Life Field,day,home,1,0,0,0,0,0,0,1,0,0,0,0,0
2026,202606,823125,2026-06-18,Baltimore Orioles,Seattle Mariners,Rico Garcia,R,vs_LHB,Empty,Cal Raleigh,T-Mobile Park,day,away,1,1,0,0,0,0,0,0,0,1,0,0,1
2026,202606,823125,2026-06-18,Baltimore Orioles,Seattle Mariners,Rico Garcia,R,vs_LHB,Empty,Dominic Canzone,T-Mobile Park,day,away,1,1,0,0,0,0,0,0,0,0,0,0,1
2026,202606,823125,2026-06-18,Baltimore Orioles,Seattle Mariners,Rico Garcia,R,vs_LHB,Empty,Josh Naylor,T-Mobile Park,day,away,1,1,0,0,0,0,0,0,0,0,0,0,1
2026,202606,823125,2026-06-18,Baltimore Orioles,Seattle Mariners,Shane Baz,R,vs_LHB,Empty,Cal Raleigh,T-Mobile Park,day,away,2,2,0,0,0,0,0,0,0,2,0,0,2
