record_type,game_pk,game_date,season,ref,venue,batting_team,fielding_team,home_away_batting,home_away_pitching,day_night,batter,batter_id,bat_side,batter_split,pitcher,pitcher_id,pitch_hand,pitcher_split,men_on_base,event,event_type,rbi,is_out,is_scoring,total_outs,description,pitch_type,pitch_call,speed_mph,spin_rate,break_vertical,break_horizontal,launch_speed,launch_angle,total_distance,trajectory,hardness
pitch,824281,2026-05-05,2026,202605,Comerica Park,Boston Red Sox,Detroit Tigers,away,home,night,Jarren Duran,680776,L,vs_LHP,Framber Valdez,664285,L,vs_LHB,Empty,Groundout,field_out,0,True,False,1,"Jarren Duran grounds out, second baseman Hao-Yu Lee to first baseman Spencer Torkelson.",Curveball,"In play, out(s)",79.1,2872.0,-60.7,10.9,76.8,-4.0,19.0,ground_ball,medium
pitch,824281,2026-05-05,2026,202605,Comerica Park,Boston Red Sox,Detroit Tigers,away,home,night,Willson Contreras,575929,R,vs_LHP,Framber Valdez,664285,L,vs_RHB,Empty,Groundout,field_out,0,True,False,1,"Willson Contreras grounds out, shortstop Kevin McGonigle to first baseman Spencer Torkelson.",Sinker,"In play, out(s)",93.8,2078.0,-24.8,-15.0,103.5,-23.0,7.0,ground_ball,medium
pitch,824281,2026-05-05,2026,202605,Comerica Park,Boston Red Sox,Detroit Tigers,away,home,night,Wilyer Abreu,677800,L,vs_LHP,Framber Valdez,664285,L,vs_LHB,Men_On,Single,single,0,False,False,0,Wilyer Abreu singles on a ground ball to left fielder Riley Greene.,Sinker,"In play, no out",96.1,2102.0,-23.0,-15.4,98.2,-19.0,6.0,ground_ball,medium
pitch,824281,2026-05-05,2026,202605,Comerica Park,Boston Red Sox,Detroit Tigers,away,home,night,Trevor Story,596115,R,vs_LHP,Framber Valdez,664285,L,vs_RHB,RISP,Field Error,field_error,0,False,False,0,Trevor Story reaches on a fielding error by third baseman Zach McKinstry. Wilyer Abreu to 3rd.,Curveball,"In play, no out",76.3,2741.0,-62.9,13.0,75.1,7.0,80.0,ground_ball,medium
pitch,824281,2026-05-05,2026,202605,Comerica Park,Boston Red Sox,Detroit Tigers,away,home,night,Ceddanne Rafaela,678882,R,vs_LHP,Framber Valdez,664285,L,vs_RHB,Empty,Home Run,home_run,3,False,True,0,Ceddanne Rafaela homers (2) on a fly ball to right center field. Wilyer Abreu scores. Trevor Story scores.,Changeup,"In play, run(s)",91.0,1539.0,-29.4,-15.8,98.0,30.0,362.0,fly_ball,medium
pitch,824281,2026-05-05,2026,202605,Comerica Park,Boston Red Sox,Detroit Tigers,away,home,night,Andruw Monasterio,655316,R,vs_LHP,Framber Valdez,664285,L,vs_RHB,Empty,Lineout,field_out,0,True,False,1,Andruw Monasterio lines out to right fielder Wenceel Pérez.,Sinker,"In play, out(s)",93.7,2001.0,-27.1,-16.7,86.6,24.0,285.0,line_drive,medium
pitch,824281,2026-05-05,2026,202605,Comerica Park,Detroit Tigers,Boston Red Sox,home,away,night,Matt Vierling,663837,R,vs_LHP,Jovani Morán,663558,L,vs_RHB,Empty,Home Run,home_run,1,False,True,0,Matt Vierling homers (2) on a fly ball to left field.,Changeup,"In play, run(s)",82.4,1745.0,-33.0,-13.1,96.7,39.0,365.0,fly_ball,medium
pitch,824281,2026-05-05,2026,202605,Comerica Park,Detroit Tigers,Boston Red Sox,home,away,night,Kevin McGonigle,805808,L,vs_LHP,Jovani Morán,663558,L,vs_LHB,Empty,Strikeout,strikeout,0,True,False,1,Kevin McGonigle strikes out swinging.,Cutter,Swinging Strike,84.3,2485.0,-33.5,7.3,,,,,
pitch,824281,2026-05-05,2026,202605,Comerica Park,Detroit Tigers,Boston Red Sox,home,away,night,Jahmai Jones,663330,R,vs_LHP,Jovani Morán,663558,L,vs_RHB,Men_On,Single,single,0,False,False,0,Jahmai Jones singles on a line drive to left fielder Jarren Duran.,Changeup,"In play, no out",83.4,1656.0,-31.7,-16.3,92.9,16.0,247.0,line_drive,medium
pitch,824281,2026-05-05,2026,202605,Comerica Park,Detroit Tigers,Boston Red Sox,home,away,night,Dillon Dingler,693307,R,vs_LHP,Jovani Morán,663558,L,vs_RHB,Men_On,Strikeout,strikeout,0,True,False,1,Dillon Dingler strikes out swinging.,Changeup,Swinging Strike,82.7,1680.0,-29.6,-11.5,,,,,
